 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
-0.869493185,-1.294498766,-0.961526479,,,,,,, 
-0.79692331,-1.294498766,-0.545007603,,,,,,, 
-0.79692331,-0.882914907,-0.05913664,,,,,,, 
-0.924161428,-0.882914907,-0.040087564,,,,,,, 
-0.924161428,-1.248079746,-0.173728185,,,,,,, 
-0.798348013,-1.248079746,-1.239041749,,,,,,, 
-0.798348013,-1.249403225,-2.291117161,,,,,,, 
-0.729415378,-1.249403225,-3.285195822,,,,,,, 
-0.729415378,-1.862116284,-5.030078767,,,,,,, 
-0.446672051,-1.862116284,-5.823741721,,,,,,, 
-0.446672051,-1.638364766,-6.792219466,,,,,,, 
-0.512357953,-1.638364766,-5.156001102,,,,,,, 
-0.512357953,-1.488610428,-3.555377091,,,,,,, 
-0.881166714,-1.488610428,-2.251299796,,,,,,, 
-0.881166714,-1.263167864,-1.362948073,,,,,,, 
-0.99724925,-1.263167864,-0.761534369,,,,,,, 
-0.99724925,-1.746962888,-0.78693888,,,,,,, 
-0.897273657,-1.746962888,-0.133527254,,,,,,, 
-0.897273657,-1.167674132,0.132944674,,,,,,, 
-0.888820373,-1.167674132,-0.597711833,,,,,,, 
-0.888820373,-1.714755446,-2.041898556,,,,,,, 
-0.789692968,-1.714755446,-2.986253386,,,,,,, 
-0.789692968,-1.425224285,-4.40611854,,,,,,, 
-0.482562551,-1.425224285,-5.075249075,,,,,,, 
-0.482562551,-1.728903003,-6.619485716,,,,,,, 
-0.449292758,-1.728903003,-5.407578149,,,,,,, 
-0.449292758,-1.025194688,-3.466677458,,,,,,, 
-0.752798782,-1.025194688,-1.754596306,,,,,,, 
